Date,Open,High,Low,Close,Adj Close,Volume
03/01/2000,54.25,55.125,49,3.6875,51.625,15600
04/01/2000,49,53.375,46.375,3.625,50.75,9600
05/01/2000,48.5625,49.875,45.5,3.375,47.25,7000
06/01/2000,46.375,46.375,42.875,3.09375,43.3125,12700
07/01/2000,44.625,77,43.75,4.5625,63.875,128300
10/01/2000,87.5,103.25,71.75,5.375,75.25,252600
11/01/2000,77.875,78.75,64.75,5,70,47900
12/01/2000,69.125,80.5,68.25,5.3125,74.375,25500
13/01/2000,77.875,80.5,74.375,5.5,77,27100
14/01/2000,78.75,80.5,73.5,5.25,73.5,14300
18/01/2000,77,98.875,75.25,6.25,87.5,56800
19/01/2000,87.5,126,85.75,7.875,110.25,128100
20/01/2000,112,140,110.25,8.875,124.25,177200
21/01/2000,132.125,186.375,92.75,11.125001,155.75,295200
24/01/2000,183.75,297.5,178.5,15.250001,213.5,456200
25/01/2000,241.5,246.75,176.75,14.125001,197.75,245200
26/01/2000,197.75,199.5,155.75,11.250001,157.5,136900
27/01/2000,157.5,157.5,139.125,10.0625,140.875,116100
28/01/2000,141.75,146.125,119,8.75,122.5,79600
31/01/2000,124.25,175.875,113.75,12.312501,172.375,237100
01/02/2000,167.125,176.75,148.75,11.062501,154.875,200800
02/02/2000,154,155.75,140,10.1875,142.625,54600
03/02/2000,140,166.25,139.125,11.000001,154,99900
04/02/2000,158.375,169.75,147,10.875001,152.25,63100
07/02/2000,155.3125,164.5,131.25,9.875,138.25,74400
08/02/2000,140,140,129.5,9.5,133,47700
09/02/2000,136.5,161.875,133,11.500001,161,97200
10/02/2000,156.625,161,143.5,10.625,148.75,37000
11/02/2000,154,154,145.25,10.750001,150.5,18800
14/02/2000,153.125,173.25,147,11.187501,156.625,109400
15/02/2000,159.25,159.25,138.25,10.1875,142.625,68900
16/02/2000,147,148.75,139.125,10.0625,140.875,30800
17/02/2000,143.5,150.5,136.5,10.0625,140.875,55000
18/02/2000,147,153.125,136.5,10.25,143.5,57100
22/02/2000,160.125,239.75,159.25,16.75,234.5,752500
23/02/2000,219.625,226.625,190.3125,13.875001,194.25,248000
24/02/2000,197.75,214.375,190.75,14.250001,199.5,100900
25/02/2000,209.125,222.25,202.125,14.687501,205.625,75800
28/02/2000,224.875,282.625,218.75,18.6875,261.625,323000
29/02/2000,294,334.25,280,20,280,230800
01/03/2000,293.125,295.75,244.125,18.25,255.5,120600
02/03/2000,259.875,308,252,20.8125,291.375,108000
03/03/2000,311.5,311.5,264.25,19.0625,266.875,66000
06/03/2000,271.25,272.125,238,17.125,239.75,88000
07/03/2000,245,273,224,17.375,243.25,95400
08/03/2000,269.5,269.5,225.75,17.625,246.75,46900
09/03/2000,256.375,273,246.75,18.4375,258.125,59500
10/03/2000,278.25,287.875,259,19,266,83800
13/03/2000,252,278.25,231,18.75,262.5,57200
14/03/2000,266,294,245,17.8125,249.375,68900
15/03/2000,267.75,274.75,241.5,18.125,253.75,50900
16/03/2000,262.5,262.5,234.5,17.375,243.25,36500
17/03/2000,239.75,255.5,217,15.687501,219.625,58100
20/03/2000,214.375,217,182,13.625001,190.75,70700
21/03/2000,178.5,209.125,175,14.250001,199.5,40300
22/03/2000,206.0625,224,185.5,13.750001,192.5,34100
23/03/2000,193.375,225.75,186.375,15.250001,213.5,50900
24/03/2000,212.625,224,203,14.562501,203.875,20500
27/03/2000,197.75,209.125,189,13.625001,190.75,23200
28/03/2000,182,204.75,171.5,12.812501,179.375,81000
29/03/2000,185.5,189.875,168,12.625001,176.75,33300
30/03/2000,171.5,176.75,154,11.875001,166.25,28600
31/03/2000,162.75,166.25,137.375,11.875001,166.25,64100
03/04/2000,161,164.5,140,10.125,141.75,30700
04/04/2000,143.5,168,105,12.000001,168,61800
05/04/2000,142.625,163.625,140,10.750001,150.5,31200
06/04/2000,157.5,168,154,11.500001,161,22200
07/04/2000,168,176.75,161.875,12.437501,174.125,25500
10/04/2000,178.5,178.5,147.875,10.750001,150.5,22600
11/04/2000,152.25,168.875,148.75,11.000001,154,31900
12/04/2000,153.125,157.5,140,10.25,143.5,20600
13/04/2000,147,150.5,124.25,9.25,129.5,26400
14/04/2000,124.25,124.25,98,7.25,101.5,58500
17/04/2000,84,108.5,77,7.25,101.5,50700
18/04/2000,101.5,127.75,99.75,8.1875,114.625,37500
19/04/2000,122.5,123.375,98.875,7.8125,109.375,21300
20/04/2000,108.5,112,107.625,7.875,110.25,5900
24/04/2000,113.75,113.75,96.25,7.25,101.5,12800
25/04/2000,111.125,112,98.875,7.25,101.5,11900
26/04/2000,108.5,108.5,98,7.25,101.5,9500
27/04/2000,90.125,103.25,89.25,7.03125,98.4375,11400
28/04/2000,98,111.125,98,7.9375,111.125,17100
01/05/2000,112,123.375,111.125,8.5,119,19100
02/05/2000,124.25,127.75,112,8.1875,114.625,19900
03/05/2000,112,126,106.75,8.125,113.75,8900
04/05/2000,120.75,124.25,110.25,8.375,117.25,9400
05/05/2000,115.9375,123.375,113.75,8.4375,118.125,7700
08/05/2000,119,119.875,112,8.4375,118.125,7300
09/05/2000,114.625,119,105,8.25,115.5,7500
10/05/2000,119,119,104.125,7.53125,105.4375,7900
