Jul.Day,Date,Wdy,GBP/USD
2456447,03/06/2013,Mon,0.65154
2456448,04/06/2013,Tue,0.65345
2456449,05/06/2013,Wed,0.64973
2456450,06/06/2013,Thu,0.64128
2456451,07/06/2013,Fri,0.6427
2456454,10/06/2013,Mon,0.64288
2456455,11/06/2013,Tue,0.64157
2456456,12/06/2013,Wed,0.63711
2456457,13/06/2013,Thu,0.63706
2456458,14/06/2013,Fri,0.63754
2456461,17/06/2013,Mon,0.63664
2456462,18/06/2013,Tue,0.64006
2456463,19/06/2013,Wed,0.63876
2456464,20/06/2013,Thu,0.64648
2456465,21/06/2013,Fri,0.65047
2456468,24/06/2013,Mon,0.6492
2456469,25/06/2013,Tue,0.64863
2456470,26/06/2013,Wed,0.65227
2456471,27/06/2013,Thu,0.65644
2456472,28/06/2013,Fri,0.65753
2456476,02/07/2013,Tue,0.6592
2456477,03/07/2013,Wed,0.65519
2456478,04/07/2013,Thu,0.66345
2456479,05/07/2013,Fri,0.67073
2456482,08/07/2013,Mon,0.66971
2456483,09/07/2013,Tue,0.67405
2456484,10/07/2013,Wed,0.66962
2456485,11/07/2013,Thu,0.66117
2456486,12/07/2013,Fri,0.662
2456489,15/07/2013,Mon,0.66283
2456490,16/07/2013,Tue,0.66132
2456491,17/07/2013,Wed,0.65864
2456492,18/07/2013,Thu,0.65823
2456493,19/07/2013,Fri,0.65539
2456496,22/07/2013,Mon,0.65086
2456497,23/07/2013,Tue,0.65133
2456498,24/07/2013,Wed,0.65082
2456499,25/07/2013,Thu,0.65223
2456500,26/07/2013,Fri,0.65075
2456503,29/07/2013,Mon,0.65124
2456504,30/07/2013,Tue,0.65602
2456505,31/07/2013,Wed,0.65866
2456506,01/08/2013,Thu,0.66036
2456507,02/08/2013,Fri,0.65452
2456511,06/08/2013,Tue,0.6508
2456512,07/08/2013,Wed,0.64471
2456513,08/08/2013,Thu,0.64285
2456514,09/08/2013,Fri,0.64495
2456517,12/08/2013,Mon,0.64623
2456518,13/08/2013,Tue,0.64725
2456519,14/08/2013,Wed,0.64392
2456520,15/08/2013,Thu,0.6422
2456521,16/08/2013,Fri,0.64024
2456524,19/08/2013,Mon,0.63841
2456525,20/08/2013,Tue,0.63789
2456526,21/08/2013,Wed,0.6379
2456527,22/08/2013,Thu,0.64188
2456528,23/08/2013,Fri,0.64198
2456531,26/08/2013,Mon,0.64239
2456532,27/08/2013,Tue,0.64404
2456533,28/08/2013,Wed,0.64435
2456534,29/08/2013,Thu,0.64569
2456535,30/08/2013,Fri,0.64655
2456539,03/09/2013,Tue,0.64335
2456540,04/09/2013,Wed,0.6393
2456541,05/09/2013,Thu,0.64134
2456542,06/09/2013,Fri,0.6397
2456545,09/09/2013,Mon,0.63603
2456546,10/09/2013,Tue,0.63571
2456547,11/09/2013,Wed,0.63266
2456548,12/09/2013,Thu,0.63224
2456549,13/09/2013,Fri,0.63051
2456552,16/09/2013,Mon,0.62791
2456553,17/09/2013,Tue,0.62892
2456554,18/09/2013,Wed,0.62641
2456555,19/09/2013,Thu,0.62337
2456556,20/09/2013,Fri,0.62417
2456559,23/09/2013,Mon,0.62355
2456560,24/09/2013,Tue,0.62481
2456561,25/09/2013,Wed,0.62194
2456562,26/09/2013,Thu,0.62457
2456563,27/09/2013,Fri,0.61981
2456566,30/09/2013,Mon,0.61813
2456567,01/10/2013,Tue,0.61701
2456568,02/10/2013,Wed,0.61643
2456569,03/10/2013,Thu,0.61855
2456570,04/10/2013,Fri,0.62234
2456573,07/10/2013,Mon,0.62185
2456574,08/10/2013,Tue,0.62153
2456575,09/10/2013,Wed,0.62723
2456576,10/10/2013,Thu,0.62601
2456577,11/10/2013,Fri,0.62719
2456581,15/10/2013,Tue,0.62604
2456582,16/10/2013,Wed,0.6288
2456583,17/10/2013,Thu,0.61861
2456584,18/10/2013,Fri,0.61795
2456587,21/10/2013,Mon,0.61926
2456588,22/10/2013,Tue,0.61651
2456589,23/10/2013,Wed,0.61852
2456590,24/10/2013,Thu,0.61786
2456591,25/10/2013,Fri,0.61893
2456594,28/10/2013,Mon,0.61995
2456595,29/10/2013,Tue,0.62273
2456596,30/10/2013,Wed,0.62197
2456597,31/10/2013,Thu,0.62244
2456598,01/11/2013,Fri,0.62811
2456601,04/11/2013,Mon,0.62703
2456602,05/11/2013,Tue,0.62332
2456603,06/11/2013,Wed,0.62196
2456604,07/11/2013,Thu,0.62236
2456605,08/11/2013,Fri,0.62527
2456609,12/11/2013,Tue,0.62834
2456610,13/11/2013,Wed,0.62376
2456611,14/11/2013,Thu,0.62204
2456612,15/11/2013,Fri,0.62084
2456615,18/11/2013,Mon,0.62076
2456616,19/11/2013,Tue,0.62076
2456617,20/11/2013,Wed,0.61926
2456618,21/11/2013,Thu,0.61906
2456619,22/11/2013,Fri,0.61691
2456622,25/11/2013,Mon,0.6194
2456623,26/11/2013,Tue,0.6179
2456624,27/11/2013,Wed,0.61474
2456625,28/11/2013,Thu,0.61192
2456626,29/11/2013,Fri,0.61082
2456629,02/12/2013,Mon,0.61104
2456630,03/12/2013,Tue,0.60919
2456631,04/12/2013,Wed,0.61155
2456632,05/12/2013,Thu,0.61247
2456633,06/12/2013,Fri,0.6125
2456636,09/12/2013,Mon,0.60966
2456637,10/12/2013,Tue,0.60891
2456638,11/12/2013,Wed,0.61016
2456639,12/12/2013,Thu,0.61254
2456640,13/12/2013,Fri,0.61381
2456643,16/12/2013,Mon,0.61312
2456644,17/12/2013,Tue,0.61529
2456645,18/12/2013,Wed,0.61024
2456646,19/12/2013,Thu,0.61048
2456647,20/12/2013,Fri,0.61144
2456650,23/12/2013,Mon,0.61144
2456651,24/12/2013,Tue,0.61088
2456654,27/12/2013,Fri,0.60644
2456657,30/12/2013,Mon,0.60534
2456658,31/12/2013,Tue,0.60339
2456660,02/01/2014,Thu,0.6083
2456661,03/01/2014,Fri,0.60888
2456664,06/01/2014,Mon,0.6094
2456665,07/01/2014,Tue,0.60903
2456666,08/01/2014,Wed,0.60755
2456667,09/01/2014,Thu,0.60759
2456668,10/01/2014,Fri,0.60717
2456671,13/01/2014,Mon,0.61058
2456672,14/01/2014,Tue,0.60795
2456673,15/01/2014,Wed,0.61071
2456674,16/01/2014,Thu,0.61213
2456675,17/01/2014,Fri,0.60871
2456678,20/01/2014,Mon,0.609
2456679,21/01/2014,Tue,0.60719
2456680,22/01/2014,Wed,0.60354
2456681,23/01/2014,Thu,0.60201
2456682,24/01/2014,Fri,0.6064
2456685,27/01/2014,Mon,0.60289
2456686,28/01/2014,Tue,0.60315
2456687,29/01/2014,Wed,0.60387
2456688,30/01/2014,Thu,0.60656
2456689,31/01/2014,Fri,0.60793
2456692,03/02/2014,Mon,0.61325
2456693,04/02/2014,Tue,0.61352
2456694,05/02/2014,Wed,0.61325
